ITFGSM Hash Distance, MT-ITFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-ITFGSM,SSIM ITFGSM,SSIM MT-ITFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.799999952316284180e+00,2.569999933242797852e+00,1.000000000000000000e+00,9.727554321289062500e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.779999971389770508e+00,2.680000066757202148e+00,1.000000000000000000e+00,9.783520698547363281e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.730000019073486328e+00,2.680000066757202148e+00,1.000000000000000000e+00,9.860298037528991699e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.940000057220458984e+00,2.940000057220458984e+00,1.000000000000000000e+00,9.833100438117980957e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.039999961853027344e+00,2.869999885559082031e+00,1.000000000000000000e+00,9.824028015136718750e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+00,2.809999942779541016e+00,1.000000000000000000e+00,9.780330657958984375e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.789999961853027344e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.523341059684753418e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.700000047683715820e+00,2.559999942779541016e+00,1.000000000000000000e+00,9.772637486457824707e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.834085106849670410e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.769999980926513672e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.752897620201110840e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.660000085830688477e+00,2.410000085830688477e+00,1.000000000000000000e+00,9.852907061576843262e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.769999980926513672e+00,2.539999961853027344e+00,1.000000000000000000e+00,9.849603176116943359e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.619999885559082031e+00,2.509999990463256836e+00,1.000000000000000000e+00,9.760840535163879395e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.750000000000000000e+00,1.000000000000000000e+00,9.851915240287780762e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.940000057220458984e+00,2.700000047683715820e+00,1.000000000000000000e+00,9.778916239738464355e-01
