ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.829999923706054688e+00,9.603682160377502441e-01,9.618499875068664551e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.779999971389770508e+00,3.779999971389770508e+00,9.515679478645324707e-01,9.509292244911193848e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.611475467681884766e-01,9.531881809234619141e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.829999923706054688e+00,9.589268565177917480e-01,9.617838263511657715e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.526326656341552734e-01,9.526068568229675293e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.635276794433593750e-01,9.576140046119689941e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.649422764778137207e-01,9.649429321289062500e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.593865275382995605e-01,9.587685465812683105e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.437589645385742188e-01,9.418827891349792480e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.527333378791809082e-01,9.570200443267822266e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+00,3.529999971389770508e+00,9.587886929512023926e-01,9.539738297462463379e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.608880877494812012e-01,9.607116580009460449e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.498392939567565918e-01,9.466188549995422363e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.789999961853027344e+00,3.789999961853027344e+00,9.657154679298400879e-01,9.646179080009460449e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.720563292503356934e-01,9.712865948677062988e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.455922245979309082e-01,9.483197331428527832e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.839999914169311523e+00,9.599196314811706543e-01,9.637581706047058105e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.505730271339416504e-01,9.534053206443786621e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.829999923706054688e+00,9.705006480216979980e-01,9.705161452293395996e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.683043956756591797e-01,9.680666923522949219e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.710000038146972656e+00,3.710000038146972656e+00,9.505310058593750000e-01,9.500195980072021484e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.799999952316284180e+00,3.799999952316284180e+00,9.603208899497985840e-01,9.598489403724670410e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.576318860054016113e-01,9.573068618774414062e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.809999942779541016e+00,9.628911614418029785e-01,9.556202888488769531e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.869999885559082031e+00,3.859999895095825195e+00,9.349982738494873047e-01,9.390049576759338379e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.450000047683715820e+00,3.589999914169311523e+00,9.165636897087097168e-01,8.850017189979553223e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.769999980926513672e+00,3.769999980926513672e+00,9.612377285957336426e-01,9.612760543823242188e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.634420871734619141e-01,9.632013440132141113e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.542644619941711426e-01,9.537510871887207031e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.601351618766784668e-01,9.595424532890319824e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.640176892280578613e-01,9.635429382324218750e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.615912437438964844e-01,9.607439041137695312e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.829999923706054688e+00,3.829999923706054688e+00,9.692196249961853027e-01,9.687450528144836426e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.562769532203674316e-01,9.555211067199707031e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.859999895095825195e+00,9.552638530731201172e-01,9.470540881156921387e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.570719599723815918e-01,9.570274353027343750e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.819999933242797852e+00,9.532659649848937988e-01,9.566805958747863770e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.500795006752014160e-01,9.373641610145568848e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.620599746704101562e-01,9.610786437988281250e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.497237801551818848e-01,9.495076537132263184e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.809999942779541016e+00,9.570823311805725098e-01,9.499104619026184082e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.819999933242797852e+00,9.615514874458312988e-01,9.627351760864257812e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.615061283111572266e-01,9.611215591430664062e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.589703083038330078e-01,9.588839411735534668e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.730000019073486328e+00,3.740000009536743164e+00,9.617886543273925781e-01,9.574938416481018066e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.627513289451599121e-01,9.618514180183410645e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.829999923706054688e+00,9.576494097709655762e-01,9.573097825050354004e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.809999942779541016e+00,3.819999933242797852e+00,9.683956503868103027e-01,9.683715701103210449e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.669460654258728027e-01,9.665735363960266113e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.849999904632568359e+00,9.458487629890441895e-01,9.454724788665771484e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.829999923706054688e+00,9.546850323677062988e-01,9.541284441947937012e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.479110836982727051e-01,9.466535449028015137e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.542517066001892090e-01,9.545028209686279297e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.470200538635253906e-01,9.450829625129699707e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.639056324958801270e-01,9.644241333007812500e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.819999933242797852e+00,9.600694179534912109e-01,9.599823951721191406e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.648805260658264160e-01,9.623515009880065918e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.789999961853027344e+00,9.481155276298522949e-01,9.526223540306091309e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.637045860290527344e-01,9.637458920478820801e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.601842761039733887e-01,9.592816233634948730e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.789999961853027344e+00,3.769999980926513672e+00,9.528171420097351074e-01,9.523283839225769043e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.604893326759338379e-01,9.578372836112976074e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.710000038146972656e+00,3.710000038146972656e+00,9.492276310920715332e-01,9.488145709037780762e-01
